record_id,company,job_title,location,salary_usd,years_experience,date_posted,skills
50,Cobalt Intelligence,Bi Developer,"Seattle, Wa",119999-139423,6,2026-03-13,"TensorFlow, Airflow, Python"
52,Nimbus Labs,Bi Developer,Remote,120856-132380,8,2026-03-18,"Pandas, AWS, TensorFlow"
57,Acme Analytics,Business Analyst,"New York, Ny",81874-93302,0,2026-03-16,"Power BI, Airflow, Python"
58,Pioneer Data Systems,Data Analyst,"Chicago, Il",123472-139632,10,2026-03-15,"dbt, Airflow, TensorFlow"
61,Summit Ai Works,Analytics Engineer,"San Francisco, Ca",127920-143763,3,2026-04-01,"dbt, Airflow, Python"
62,Cobalt Intelligence,Analytics Engineer,"Austin, Tx",98104-125291,1,2026-04-21,"Python, SQL, Tableau"
63,Cobalt Intelligence,Data Engineer,"San Francisco, Ca",114024-132683,2,2026-04-22,"Python, Pandas, SQL"
65,Bluepeak Software,Product Analyst,"Boston, Ma",125439-156806,9,2026-03-03,"SQL, AWS, dbt"
67,Acme Analytics,Research Scientist,"Seattle, Wa",158071-181933,7,2026-04-08,"SQL, Airflow, AWS"
68,Pioneer Data Systems,Data Engineer,"Austin, Tx",114147-144142,3,2026-03-23,"AWS, dbt, Tableau"
71,Pioneer Data Systems,Machine Learning Engineer,"Boston, Ma",161641-181940,3,2026-04-24,"TensorFlow, Airflow, Pandas"
72,Acme Analytics,Analytics Engineer,"Seattle, Wa",129741-144238,9,2026-03-30,"AWS, SQL, Python"
75,Cobalt Intelligence,Product Analyst,"Seattle, Wa",86063-106944,1,2026-04-08,"TensorFlow, Power BI, SQL"
77,Aurora Metrics,Analytics Engineer,"New York, Ny",131356-156856,3,2026-03-20,"Spark, Python, Pandas"
79,Pioneer Data Systems,Machine Learning Engineer,"Chicago, Il",137974-163098,6,2026-04-04,"Pandas, Tableau, Airflow"
80,Pioneer Data Systems,Machine Learning Engineer,"San Francisco, Ca",199671-217314,10,2026-03-05,"Airflow, Pandas, TensorFlow"
81,Bluepeak Software,Analytics Engineer,"Boston, Ma",148358-178698,8,2026-02-27,"Pandas, AWS, Python"
82,Bluepeak Software,Data Analyst,"San Francisco, Ca",122838-135356,6,2026-03-16,"SQL, AWS, Spark"
83,Pioneer Data Systems,Data Analyst,Remote,113356-127736,3,2026-03-24,"AWS, Airflow, Spark"
84,Nimbus Labs,Product Analyst,"Austin, Tx",113600-147133,5,2026-04-11,"TensorFlow, Spark, AWS"
85,Nimbus Labs,Research Scientist,"Seattle, Wa",148955-166047,9,2026-04-03,"Spark, Power BI, Pandas"
86,Nimbus Labs,Bi Developer,"Chicago, Il",84198-101093,2,2026-04-19,Spark SQL Tableau
87,Nimbus Labs,Data Analyst,"San Francisco, Ca",114938-140448,3,2026-04-28,"Airflow, TensorFlow, AWS"
7298,Summit Ai Works,Product Analyst,"Boston, Ma",82221-93727,0,2026-03-29,"Python, Tableau, AWS"
92,Nimbus Labs,Data Engineer,"Seattle, Wa",148077-182034,8,2026-03-12,"AWS, Python, Pandas"
94,Bluepeak Software,Research Scientist,"San Francisco, Ca",141451-156242,4,2026-04-16,"dbt, AWS, Pandas"
96,Cobalt Intelligence,Machine Learning Engineer,"Austin, Tx",144309-173705,5,2026-04-02,"AWS, Airflow, Tableau"
97,Acme Analytics,Bi Developer,"Austin, Tx",89193-112730,1,2026-04-23,"Airflow, Pandas, Python"
965,Vertex Insight,Data Engineer,"New York, Ny",147966-175555,3,2026-04-10,TensorFlow Power BI SQL
99,Nimbus Labs,Data Analyst,"Boston, Ma",93889-126079,4,2026-03-12,"Python, SQL, AWS"
100,Acme Analytics,Data Engineer,Remote,131545-145847,8,2026-03-02,"Spark, Python, Airflow"
101,Vertex Insight,Business Analyst,"Austin, Tx",62887-83632,1,2026-04-03,"SQL, Power BI, Tableau"
102,Vertex Insight,Machine Learning Engineer,"Austin, Tx",110280-134320,0,2026-03-06,AWS Spark Python
103,Aurora Metrics,Product Analyst,"Boston, Ma",103457-134635,3,2026-03-15,"dbt, Spark, SQL"
104,Summit Ai Works,Bi Developer,"San Francisco, Ca",131258-161142,9,2026-04-10,"Airflow, Power BI, SQL"
106,Bluepeak Software,Analytics Engineer,"Chicago, Il",125635-159377,3,2026-03-19,"dbt, Python, AWS"
107,Nimbus Labs,Product Analyst,"Chicago, Il",108635-128381,8,2026-03-22,"Tableau, Airflow, Power BI"
108,Vertex Insight,Analytics Engineer,"Seattle, Wa",121684-141980,9,2026-04-03,"Tableau, Pandas, SQL"
109,Cobalt Intelligence,Research Scientist,"Boston, Ma",135645-151181,8,2026-03-29,"dbt, Power BI, Tableau"
110,Nimbus Labs,Data Engineer,"Austin, Tx",127996-138816,5,2026-03-11,"Tableau, Spark, Power BI"
111,Bluepeak Software,Research Scientist,"Austin, Tx",137127-158245,5,2026-03-19,"Python, Tableau, Spark"
3968,Bluepeak Software,Research Scientist,"San Francisco, Ca",161969-180071,3,2026-04-24,"dbt, Airflow, TensorFlow"
116,Acme Analytics,Bi Developer,"Austin, Tx",89243-99638,6,2026-04-01,"SQL, Tableau, Pandas"
117,Summit Ai Works,Business Analyst,"San Francisco, Ca",99958-125268,5,2026-03-04,SQL Spark Pandas
118,Vertex Insight,Data Analyst,"Chicago, Il",111962-139236,8,2026-03-24,"AWS, Python, Pandas"
119,Bluepeak Software,Product Analyst,"San Francisco, Ca",143893-159623,7,2026-03-26,"Airflow, TensorFlow, Power BI"
120,Vertex Insight,Analytics Engineer,"Austin, Tx",100853-121897,4,2026-04-14,"Airflow, Python, Tableau"
121,Pioneer Data Systems,Machine Learning Engineer,"New York, Ny",159109-175371,2,2026-04-03,"AWS, dbt, SQL"
124,Summit Ai Works,Product Analyst,"Seattle, Wa",91644-107180,1,2026-04-03,"AWS, SQL, Tableau"
125,Pioneer Data Systems,Data Analyst,"Boston, Ma",87142-115892,0,2026-03-12,"Pandas, SQL, Tableau"
126,Bluepeak Software,Bi Developer,"Seattle, Wa",112157-124347,2,2026-03-12,"SQL, AWS, Pandas"
127,Summit Ai Works,Bi Developer,"San Francisco, Ca",132089-163047,7,2026-03-12,"dbt, TensorFlow, Tableau"
128,Pioneer Data Systems,Bi Developer,"Seattle, Wa",97878-118611,1,2026-04-26,"Tableau, Pandas, Power BI"
129,Acme Analytics,Business Analyst,"San Francisco, Ca",113033-124499,4,2026-04-20,"AWS, Spark, Pandas"
130,Nimbus Labs,Machine Learning Engineer,"Austin, Tx",128749-163167,7,2026-03-02,"Power BI, Python, SQL"
131,Aurora Metrics,Research Scientist,"New York, Ny",156179-181196,7,2026-04-09,"Power BI, TensorFlow, Python"
132,Acme Analytics,Machine Learning Engineer,"Chicago, Il",146721-158364,0,2026-04-20,"SQL, AWS, dbt"
133,Cobalt Intelligence,Product Analyst,"Austin, Tx",117657-151059,8,2026-04-21,"TensorFlow, Pandas, Tableau"
135,Acme Analytics,Product Analyst,"Seattle, Wa",103077-117455,1,2026-04-25,"dbt, Tableau, AWS"
137,Bluepeak Software,Bi Developer,"Austin, Tx",94724-113904,1,2026-03-26,"dbt, Spark, Power BI"
138,Vertex Insight,Research Scientist,Remote,136020-148093,4,2026-03-18,"AWS, SQL, Spark"
139,Summit Ai Works,Analytics Engineer,"New York, Ny",110053-122738,2,2026-04-01,"dbt, Power BI, Spark"
140,Vertex Insight,Research Scientist,"New York, Ny",145413-173636,2,2026-03-13,"Airflow, Python, Pandas"
141,Summit Ai Works,Data Analyst,"Seattle, Wa",101580-126385,0,2026-04-10,"TensorFlow, Spark, Pandas"
143,Pioneer Data Systems,Data Analyst,"Seattle, Wa",87166-121658,1,2026-04-23,"Pandas, Python, dbt"
144,Vertex Insight,Research Scientist,"New York, Ny",146959-177379,3,2026-04-28,"Spark, Power BI, dbt"
145,Acme Analytics,Analytics Engineer,"Seattle, Wa",100513-132472,1,2026-03-23,"dbt, Tableau, Python"
147,Aurora Metrics,Machine Learning Engineer,"Boston, Ma",138921-164610,7,2026-04-21,"Pandas, Tableau, TensorFlow"
148,Pioneer Data Systems,Analytics Engineer,"Seattle, Wa",131065-154364,10,2026-03-18,"dbt, Python, Power BI"
151,Cobalt Intelligence,Bi Developer,"San Francisco, Ca",135100-157260,9,2026-04-01,"TensorFlow, Python, dbt"
152,Cobalt Intelligence,Data Engineer,Remote,115776-131089,2,2026-04-05,"TensorFlow, Spark, SQL"
153,Vertex Insight,Data Analyst,"Seattle, Wa",110207-123864,8,2026-03-04,"TensorFlow, SQL, Spark"
154,Aurora Metrics,Product Analyst,"New York, Ny",100894-111779,2,2026-04-26,"Tableau, AWS, Power BI"
157,Nimbus Labs,Analytics Engineer,"San Francisco, Ca",172939-184765,10,2026-04-09,"Spark, Power BI, AWS"
158,Summit Ai Works,Bi Developer,"San Francisco, Ca",147828-158282,10,2026-04-12,"Power BI, AWS, SQL"
159,Nimbus Labs,Machine Learning Engineer,"New York, Ny",176650-189186,8,2026-03-01,"dbt, Tableau, Python"
160,Aurora Metrics,Machine Learning Engineer,"Boston, Ma",130083-154221,1,2026-03-01,"Python, Airflow, Power BI"
161,Acme Analytics,Data Analyst,"Chicago, Il",102869-121967,5,2026-03-23,"Airflow, Pandas, Power BI"
162,Cobalt Intelligence,Bi Developer,"Austin, Tx",91541-102459,2,2026-04-12,"Spark, Pandas, AWS"
163,Cobalt Intelligence,Bi Developer,"Boston, Ma",118733-133587,7,2026-04-16,"Python, SQL, TensorFlow"
164,Aurora Metrics,Data Analyst,Remote,100964-126819,9,2026-04-26,"dbt, Python, Tableau"
165,Aurora Metrics,Bi Developer,Remote,87351-121411,0,2026-03-15,"Spark, Airflow, dbt"
166,Summit Ai Works,Research Scientist,"Austin, Tx",135075-155938,5,2026-04-21,"AWS, Airflow, Power BI"
167,Summit Ai Works,Machine Learning Engineer,"Seattle, Wa",164278-193506,10,2026-04-09,"TensorFlow, Tableau, Python"
168,Vertex Insight,Data Analyst,Remote,97274-131471,7,2026-03-06,Power BI SQL TensorFlow
177,Cobalt Intelligence,Bi Developer,"Seattle, Wa",129198-154331,10,2026-04-02,"Spark, Tableau, AWS"
170,Bluepeak Software,Data Engineer,"San Francisco, Ca",147245-159222,2,2026-03-13,"SQL, Spark, AWS"
171,Cobalt Intelligence,Bi Developer,"San Francisco, Ca",119594-153637,6,2026-03-20,"AWS, Pandas, Spark"
172,Nimbus Labs,Bi Developer,"Chicago, Il",114598-132640,5,2026-03-27,"Spark, Power BI, AWS"
173,Acme Analytics,Machine Learning Engineer,Remote,131992-142687,8,2026-04-20,TensorFlow Python Spark
174,Summit Ai Works,Machine Learning Engineer,"New York, Ny",179849-199393,9,2026-04-16,"Tableau, AWS, Airflow"
176,Aurora Metrics,Machine Learning Engineer,"Chicago, Il",162273-179188,10,2026-04-19,"AWS, TensorFlow, Pandas"
179,Summit Ai Works,Machine Learning Engineer,"Boston, Ma",154825-168555,1,2026-04-12,Tableau Spark TensorFlow
180,Summit Ai Works,Research Scientist,"Seattle, Wa",119413-149872,2,2026-03-21,TensorFlow Pandas Power BI
181,Aurora Metrics,Business Analyst,"Seattle, Wa",125667-143779,6,2026-03-31,"Pandas, Spark, TensorFlow"
182,Vertex Insight,Business Analyst,"Boston, Ma",111103-145353,10,2026-04-20,"dbt, Python, Spark"
183,Aurora Metrics,Research Scientist,"Boston, Ma",120485-132593,1,2026-03-16,"Python, Tableau, SQL"
184,Summit Ai Works,Research Scientist,"Chicago, Il",122535-136602,4,2026-03-06,"dbt, SQL, Tableau"
185,Acme Analytics,Business Analyst,Remote,116556-136188,9,2026-04-10,"Spark, Airflow, dbt"
186,Aurora Metrics,Product Analyst,"Boston, Ma",94157-119541,0,2026-04-14,"dbt, SQL, AWS"
187,Acme Analytics,Data Engineer,"Boston, Ma",124199-141606,7,2026-04-26,"Tableau, SQL, TensorFlow"
188,Pioneer Data Systems,Business Analyst,"Austin, Tx",102686-116386,9,2026-03-13,"Pandas, Tableau, dbt"
189,Acme Analytics,Product Analyst,"San Francisco, Ca",146447-180719,10,2026-03-15,"Python, Airflow, Tableau"
191,Nimbus Labs,Business Analyst,"San Francisco, Ca",84932-116571,0,2026-04-15,"Tableau, TensorFlow, SQL"
192,Acme Analytics,Product Analyst,"New York, Ny",109459-136129,4,2026-04-07,"Spark, AWS, Pandas"
193,Vertex Insight,Analytics Engineer,"Boston, Ma",139128-171097,6,2026-04-15,"Airflow, dbt, Tableau"
194,Bluepeak Software,Bi Developer,"Seattle, Wa",127646-154491,5,2026-02-28,"Airflow, AWS, Power BI"
196,Bluepeak Software,Product Analyst,"Chicago, Il",107529-137773,5,2026-04-16,"Spark, TensorFlow, Power BI"
197,Bluepeak Software,Data Analyst,"Chicago, Il",83269-105740,2,2026-03-18,"AWS, Power BI, dbt"
198,Vertex Insight,Data Analyst,"New York, Ny",110122-123079,8,2026-03-26,"AWS, Python, Airflow"
199,Acme Analytics,Machine Learning Engineer,"New York, Ny",185545-215573,9,2026-03-19,"Tableau, TensorFlow, Airflow"
200,Summit Ai Works,Data Engineer,"Boston, Ma",116440-139002,2,2026-03-15,"Pandas, TensorFlow, Power BI"
202,Summit Ai Works,Data Engineer,"Austin, Tx",107832-139297,1,2026-04-17,"Airflow, SQL, Spark"
203,Acme Analytics,Analytics Engineer,"New York, Ny",154622-178228,7,2026-03-10,"Tableau, Pandas, AWS"
204,Aurora Metrics,Data Engineer,"Boston, Ma",128800-151560,9,2026-04-23,"Tableau, dbt, Power BI"
205,Summit Ai Works,Analytics Engineer,"Boston, Ma",138419-170965,9,2026-03-12,"dbt, SQL, Pandas"
206,Vertex Insight,Bi Developer,"Chicago, Il",114416-143763,4,2026-04-09,"Spark, dbt, Airflow"
209,Acme Analytics,Research Scientist,"Boston, Ma",132776-157813,0,2026-02-28,"TensorFlow, dbt, AWS"
210,Pioneer Data Systems,Data Engineer,Remote,117403-138434,2,2026-04-21,"Airflow, Python, Tableau"
211,Summit Ai Works,Data Analyst,"San Francisco, Ca",86496-114722,2,2026-03-24,"dbt, Python, Pandas"
213,Bluepeak Software,Data Engineer,"Chicago, Il",132997-143095,9,2026-03-16,"dbt, Airflow, Power BI"
214,Acme Analytics,Product Analyst,"Seattle, Wa",98967-129297,6,2026-03-05,"Airflow, SQL, Spark"
215,Nimbus Labs,Data Engineer,"San Francisco, Ca",129848-149815,5,2026-04-06,"TensorFlow, Pandas, Python"
216,Pioneer Data Systems,Product Analyst,Remote,127385-149310,10,2026-04-12,"dbt, Airflow, TensorFlow"
217,Pioneer Data Systems,Analytics Engineer,"Boston, Ma",125027-151072,7,2026-04-27,"AWS, Tableau, Power BI"
218,Vertex Insight,Data Analyst,"Boston, Ma",130528-142843,9,2026-04-24,"Airflow, SQL, Tableau"
219,Vertex Insight,Product Analyst,"New York, Ny",122497-141395,6,2026-03-13,"Airflow, TensorFlow, Python"
220,Pioneer Data Systems,Product Analyst,"New York, Ny",128337-145529,8,2026-03-13,"Python, SQL, dbt"
221,Nimbus Labs,Bi Developer,"San Francisco, Ca",147696-175404,10,2026-03-28,"Python, Spark, TensorFlow"
222,Nimbus Labs,Product Analyst,"Seattle, Wa",99123-121801,7,2026-03-24,"Power BI, Spark, Pandas"
5582,Summit Ai Works,Bi Developer,Remote,113134-133355,9,2026-03-09,"Python, TensorFlow, Pandas"
224,Cobalt Intelligence,Research Scientist,"San Francisco, Ca",183849-200204,8,2026-04-06,"dbt, Pandas, Spark"
225,Nimbus Labs,Analytics Engineer,"Chicago, Il",113601-138917,10,2026-03-14,"Spark, Power BI, Tableau"
226,Pioneer Data Systems,Machine Learning Engineer,"Austin, Tx",133417-166881,2,2026-04-23,"Python, Tableau, Airflow"
228,Cobalt Intelligence,Business Analyst,Remote,98621-109004,9,2026-03-19,"Python, TensorFlow, AWS"
230,Summit Ai Works,Data Analyst,"Chicago, Il",118936-132996,5,2026-03-13,"Airflow, Tableau, TensorFlow"
232,Pioneer Data Systems,Research Scientist,Remote,129852-154240,4,2026-04-04,"Power BI, dbt, SQL"
233,Aurora Metrics,Data Analyst,"Boston, Ma",113217-133113,7,2026-03-31,"SQL, Airflow, dbt"
237,Pioneer Data Systems,Business Analyst,"New York, Ny",103356-134892,5,2026-03-03,"AWS, Pandas, Spark"
239,Cobalt Intelligence,Business Analyst,"Boston, Ma",91931-113068,3,2026-04-26,Spark Power BI Airflow
242,Pioneer Data Systems,Research Scientist,"Seattle, Wa",149111-183974,7,2026-03-04,"Power BI, Tableau, SQL"
243,Cobalt Intelligence,Analytics Engineer,"Seattle, Wa",135912-152386,8,2026-03-01,"Python, Airflow, Pandas"
244,Aurora Metrics,Product Analyst,"New York, Ny",112157-125615,4,2026-03-09,"Pandas, AWS, SQL"
245,Summit Ai Works,Machine Learning Engineer,"New York, Ny",172624-203096,5,2026-04-20,"dbt, Tableau, Spark"
246,Nimbus Labs,Machine Learning Engineer,"New York, Ny",170391-184490,8,2026-03-22,"TensorFlow, Power BI, Tableau"
250,Acme Analytics,Product Analyst,"Seattle, Wa",119710-149110,6,2026-02-28,"TensorFlow, AWS, Airflow"
251,Summit Ai Works,Product Analyst,"San Francisco, Ca",125551-136352,9,2026-04-16,"SQL, Spark, dbt"
253,Acme Analytics,Product Analyst,"Seattle, Wa",83481-105087,0,2026-04-28,"Tableau, SQL, Pandas"
254,Aurora Metrics,Business Analyst,"Boston, Ma",84812-116926,5,2026-04-16,"Spark, Power BI, dbt"
256,Bluepeak Software,Machine Learning Engineer,"Chicago, Il",162505-181272,5,2026-04-10,"Tableau, Airflow, Spark"
257,Aurora Metrics,Research Scientist,"Seattle, Wa",141276-161522,6,2026-04-13,"TensorFlow, Python, Airflow"
259,Aurora Metrics,Business Analyst,Remote,83106-110539,3,2026-04-08,"Python, dbt, AWS"
260,Bluepeak Software,Machine Learning Engineer,Remote,142257-162849,7,2026-04-25,"Pandas, Spark, Airflow"
263,Acme Analytics,Data Engineer,"Austin, Tx",115823-138652,1,2026-02-27,"SQL, Tableau, Airflow"
264,Vertex Insight,Analytics Engineer,"Boston, Ma",123957-153399,3,2026-03-20,"TensorFlow, Airflow, Power BI"
265,Pioneer Data Systems,Data Analyst,"New York, Ny",127194-144610,9,2026-04-24,"AWS, Python, Power BI"
266,Nimbus Labs,Product Analyst,"San Francisco, Ca",110523-143794,1,2026-04-02,"Power BI, Pandas, Spark"
267,Pioneer Data Systems,Business Analyst,"New York, Ny",120168-153204,9,2026-03-09,"Pandas, AWS, Tableau"
268,Acme Analytics,Data Analyst,"Seattle, Wa",93180-120179,2,2026-03-04,"AWS, Pandas, dbt"
270,Summit Ai Works,Machine Learning Engineer,Remote,165949-191845,10,2026-03-31,"Pandas, Airflow, dbt"
271,Nimbus Labs,Data Engineer,"Boston, Ma",122248-155061,1,2026-03-23,"Power BI, AWS, Airflow"
272,Pioneer Data Systems,Research Scientist,"Seattle, Wa",117066-139743,0,2026-04-01,"AWS, Spark, SQL"
273,Bluepeak Software,Product Analyst,"Boston, Ma",139211-164565,10,2026-04-07,"Python, Airflow, Tableau"
274,Bluepeak Software,Machine Learning Engineer,"Austin, Tx",124730-141785,0,2026-04-07,"Pandas, Tableau, Python"
275,Cobalt Intelligence,Analytics Engineer,"San Francisco, Ca",110849-127139,2,2026-04-22,"Airflow, Power BI, SQL"
276,Vertex Insight,Bi Developer,"Boston, Ma",122871-155728,7,2026-03-14,"Python, Pandas, AWS"
277,Pioneer Data Systems,Business Analyst,"Austin, Tx",85628-107431,2,2026-03-09,"Tableau, dbt, Python"
278,Acme Analytics,Research Scientist,Remote,125476-155978,5,2026-03-20,"Tableau, Pandas, dbt"
279,Vertex Insight,Business Analyst,"Chicago, Il",84326-113761,6,2026-03-17,"dbt, SQL, Airflow"
280,Pioneer Data Systems,Machine Learning Engineer,Remote,152090-176580,7,2026-04-02,"dbt, Tableau, TensorFlow"
281,Aurora Metrics,Machine Learning Engineer,Remote,149714-174546,4,2026-03-08,"Pandas, SQL, Python"
282,Nimbus Labs,Bi Developer,"Boston, Ma",106900-129238,7,2026-04-12,"Python, Airflow, SQL"
283,Bluepeak Software,Product Analyst,"Chicago, Il",112657-145496,9,2026-03-14,AWS Power BI Pandas
284,Cobalt Intelligence,Machine Learning Engineer,"Austin, Tx",177493-195436,10,2026-04-26,"Airflow, SQL, Spark"
285,Summit Ai Works,Research Scientist,"San Francisco, Ca",132517-165138,0,2026-03-25,Airflow Power BI TensorFlow
286,Acme Analytics,Machine Learning Engineer,"Seattle, Wa",176635-208423,8,2026-04-20,"AWS, Power BI, dbt"
288,Bluepeak Software,Bi Developer,"Seattle, Wa",124843-154409,8,2026-03-12,"dbt, Spark, Power BI"
290,Vertex Insight,Data Analyst,Remote,125048-144271,8,2026-04-19,"Airflow, Spark, Tableau"
292,Cobalt Intelligence,Product Analyst,"Seattle, Wa",114913-138064,7,2026-03-27,"Python, TensorFlow, AWS"
294,Bluepeak Software,Analytics Engineer,"Austin, Tx",114739-149365,7,2026-03-04,"Pandas, Airflow, SQL"
295,Pioneer Data Systems,Product Analyst,"Chicago, Il",121889-149909,8,2026-03-23,"dbt, TensorFlow, AWS"
296,Vertex Insight,Bi Developer,"Chicago, Il",129710-155743,7,2026-03-20,"Python, Airflow, Spark"
297,Aurora Metrics,Analytics Engineer,"Boston, Ma",109595-126042,2,2026-03-02,"Airflow, Python, dbt"
298,Pioneer Data Systems,Machine Learning Engineer,"Chicago, Il",119920-131193,0,2026-04-15,"SQL, dbt, Python"
299,Summit Ai Works,Data Analyst,"San Francisco, Ca",103235-120114,1,2026-03-03,"Airflow, Tableau, TensorFlow"
300,Nimbus Labs,Business Analyst,"New York, Ny",129081-151815,9,2026-04-17,"TensorFlow, Airflow, SQL"
303,Aurora Metrics,Machine Learning Engineer,"Boston, Ma",134013-153598,3,2026-03-25,"Spark, AWS, SQL"
305,Nimbus Labs,Bi Developer,"New York, Ny",119464-152320,0,2026-03-24,"AWS, SQL, Airflow"
306,Nimbus Labs,Business Analyst,"Austin, Tx",113042-125285,6,2026-04-13,"TensorFlow, AWS, Airflow"
307,Summit Ai Works,Machine Learning Engineer,"New York, Ny",175815-209741,9,2026-03-06,"TensorFlow, dbt, Power BI"
309,Aurora Metrics,Data Analyst,"Boston, Ma",86968-103883,0,2026-03-09,"SQL, dbt, Python"
310,Aurora Metrics,Analytics Engineer,"San Francisco, Ca",122752-154236,5,2026-04-14,"Python, Tableau, Pandas"
312,Bluepeak Software,Data Engineer,"Austin, Tx",137187-171694,8,2026-04-20,"Airflow, Pandas, TensorFlow"
315,Aurora Metrics,Business Analyst,"Austin, Tx",76527-104949,1,2026-04-09,"Python, AWS, Tableau"
317,Pioneer Data Systems,Business Analyst,Remote,101740-122489,9,2026-03-18,"Power BI, Python, AWS"
318,Pioneer Data Systems,Product Analyst,Remote,103496-118077,8,2026-03-08,"AWS, Pandas, dbt"
319,Vertex Insight,Analytics Engineer,Remote,121124-146047,4,2026-03-25,"Spark, TensorFlow, dbt"
320,Bluepeak Software,Data Engineer,"Boston, Ma",134142-164699,6,2026-03-23,"SQL, Tableau, Airflow"
322,Nimbus Labs,Bi Developer,"Chicago, Il",112258-124744,7,2026-04-12,"AWS, Tableau, dbt"
323,Nimbus Labs,Bi Developer,"Chicago, Il",118432-129224,10,2026-04-28,"AWS, Python, Power BI"
324,Vertex Insight,Analytics Engineer,"Seattle, Wa",111877-134182,3,2026-03-03,"Power BI, Pandas, AWS"
